ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1149373_000_0,Mpro-protein,-5.763883,,exp_10
mol_2024_07_09_1149373_000_0,Mpro-protein,-5.981223,,exp_10
mol_2024_07_09_1150210_000_0,Mpro-protein,-6.469509,,exp_10
mol_2024_07_09_1150210_000_0,Mpro-protein,-6.531367,,exp_10
mol_2024_07_09_1209183_000_0,Mpro-protein,-5.469952,,exp_10
mol_2024_07_09_1209183_000_0,Mpro-protein,-5.581725,,exp_10
mol_2024_07_09_1203021_000_0,Mpro-protein,-5.68809,,exp_10
mol_2024_07_09_1203021_000_0,Mpro-protein,-5.654259,,exp_10
mol_2024_07_09_1207021_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1207021_000_docked.sdf,exp_10
mol_2024_07_09_1206510_000_0,Mpro-protein,-6.369357,,exp_10
mol_2024_07_09_1206510_000_0,Mpro-protein,-5.801372,,exp_10
mol_2024_07_09_1149452_000_0,Mpro-protein,-5.350919,,exp_10
mol_2024_07_09_1149452_000_0,Mpro-protein,-5.426204,,exp_10
mol_2024_07_09_1154072_000_0,Mpro-protein,-5.43885,,exp_10
mol_2024_07_09_1154072_000_0,Mpro-protein,-5.569897,,exp_10
mol_2024_07_09_1206010_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1206010_000_docked.sdf,exp_10
mol_2024_07_09_1152073_000_0,Mpro-protein,-5.388532,,exp_10
mol_2024_07_09_1152073_000_0,Mpro-protein,-5.316883,,exp_10
mol_2024_07_09_1147111_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1147111_000_docked.sdf,exp_10
mol_2024_07_09_1208293_000_0,Mpro-protein,-5.039957,,exp_10
mol_2024_07_09_1208293_000_0,Mpro-protein,-4.912374,,exp_10
mol_2024_07_09_1157233_000_0,Mpro-protein,-5.149109,,exp_10
mol_2024_07_09_1157233_000_0,Mpro-protein,-5.182265,,exp_10
mol_2024_07_09_1207342_000_0,Mpro-protein,-6.645268,,exp_10
mol_2024_07_09_1207342_000_0,Mpro-protein,-6.409208,,exp_10
mol_2024_07_09_1202512_000_0,Mpro-protein,-5.543528,,exp_10
mol_2024_07_09_1202512_000_0,Mpro-protein,-5.498826,,exp_10
mol_2024_07_09_1147412_000_0,Mpro-protein,-4.807543,,exp_10
mol_2024_07_09_1147412_000_0,Mpro-protein,-4.791417,,exp_10
mol_2024_07_09_1152553_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1152553_000_docked.sdf,exp_10
mol_2024_07_09_1147040_000_0,Mpro-protein,-5.821812,,exp_10
mol_2024_07_09_1147040_000_0,Mpro-protein,-5.691773,,exp_10
mol_2024_07_09_1208021_000_0,Mpro-protein,-6.926012,,exp_10
mol_2024_07_09_1208021_000_0,Mpro-protein,-6.582785,,exp_10
mol_2024_07_09_1155343_000_0,Mpro-protein,-8.475809,,exp_10
mol_2024_07_09_1155343_000_0,Mpro-protein,-8.197885,,exp_10
mol_2024_07_09_1206453_000_0,Mpro-protein,-5.495784,,exp_10
mol_2024_07_09_1206453_000_0,Mpro-protein,-5.550247,,exp_10
mol_2024_07_09_1158302_000_0,Mpro-protein,-7.571671,,exp_10
mol_2024_07_09_1158302_000_0,Mpro-protein,-7.658976,,exp_10
mol_2024_07_09_1201021_000_0,Mpro-protein,-6.54622,,exp_10
mol_2024_07_09_1201021_000_0,Mpro-protein,-6.495012,,exp_10
