ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1149373_000,Mpro-protein,-5.334,,exp_10
mol_2024_07_09_1150210_000,Mpro-protein,-4.608,,exp_10
mol_2024_07_09_1209183_000,Mpro-protein,-4.547,,exp_10
mol_2024_07_09_1203021_000,Mpro-protein,-4.672,,exp_10
mol_2024_07_09_1207021_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1207021_000.pdb -o mol_2024_07_09_1207021_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1206510_000,Mpro-protein,-4.929,,exp_10
mol_2024_07_09_1149452_000,Mpro-protein,-5.501,,exp_10
mol_2024_07_09_1154072_000,Mpro-protein,-4.967,,exp_10
mol_2024_07_09_1206010_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1206010_000.pdb -o mol_2024_07_09_1206010_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1152073_000,Mpro-protein,-5.255,,exp_10
mol_2024_07_09_1147111_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1147111_000.pdb -o mol_2024_07_09_1147111_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1208293_000,Mpro-protein,-3.434,,exp_10
mol_2024_07_09_1157233_000,Mpro-protein,-3.878,,exp_10
mol_2024_07_09_1207342_000,Mpro-protein,-4.52,,exp_10
mol_2024_07_09_1202512_000,Mpro-protein,-4.455,,exp_10
mol_2024_07_09_1147412_000,Mpro-protein,-4.5,,exp_10
mol_2024_07_09_1152553_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1152553_000.pdb -o mol_2024_07_09_1152553_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1147040_000,Mpro-protein,-5.285,,exp_10
mol_2024_07_09_1208021_000,Mpro-protein,-6.048,,exp_10
mol_2024_07_09_1155343_000,Mpro-protein,-6.761,,exp_10
mol_2024_07_09_1206453_000,Mpro-protein,-4.628,,exp_10
mol_2024_07_09_1158302_000,Mpro-protein,-5.56,,exp_10
mol_2024_07_09_1201021_000,Mpro-protein,-4.911,,exp_10
mol_2024_07_09_1200013_000,Mpro-protein,-5.658,,exp_10
mol_2024_07_09_1200100_000,Mpro-protein,-6.007,,exp_10
mol_2024_07_09_1211493_000,Mpro-protein,-4.732,,exp_10
mol_2024_07_09_1202031_000,Mpro-protein,-5.075,,exp_10
mol_2024_07_09_1211021_000,Mpro-protein,-5.99,,exp_10
mol_2024_07_09_1201020_000,Mpro-protein,-5.359,,exp_10
mol_2024_07_09_1203300_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1203300_000.pdb -o mol_2024_07_09_1203300_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1156031_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1156031_000.pdb -o mol_2024_07_09_1156031_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1150253_000,Mpro-protein,-4.273,,exp_10
mol_2024_07_09_1154240_000,Mpro-protein,-3.784,,exp_10
mol_2024_07_09_1158031_000,Mpro-protein,-5.862,,exp_10
mol_2024_07_09_1205142_000,Mpro-protein,-4.253,,exp_10
mol_2024_07_09_1212012_000,Mpro-protein,-4.265,,exp_10
mol_2024_07_09_1205021_000,Mpro-protein,-3.523,,exp_10
mol_2024_07_09_1158370_000,Mpro-protein,-5.979,,exp_10
mol_2024_07_09_1152021_000,Mpro-protein,-5.685,,exp_10
mol_2024_07_09_1151080_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1151080_000.pdb -o mol_2024_07_09_1151080_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1200021_000,Mpro-protein,-5.728,,exp_10
mol_2024_07_09_1205533_000,Mpro-protein,-4.263,,exp_10
mol_2024_07_09_1210093_000,Mpro-protein,-4.566,,exp_10
mol_2024_07_09_1202410_000,Mpro-protein,-5.923,,exp_10
mol_2024_07_09_1207390_000,Mpro-protein,-5.218,,exp_10
mol_2024_07_09_1205013_000,Mpro-protein,-4.616,,exp_10
mol_2024_07_09_1148440_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1148440_000.pdb -o mol_2024_07_09_1148440_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1159240_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1159240_000.pdb -o mol_2024_07_09_1159240_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1210070_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1210070_000.pdb -o mol_2024_07_09_1210070_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1158183_000,Mpro-protein,-4.742,,exp_10
mol_2024_07_09_1209170_000,Mpro-protein,-4.848,,exp_10
mol_2024_07_09_1149330_000,Mpro-protein,-3.209,,exp_10
mol_2024_07_09_1156283_000,Mpro-protein,-5.041,,exp_10
mol_2024_07_09_1151570_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1151570_000.pdb -o mol_2024_07_09_1151570_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1147573_000,Mpro-protein,-4.978,,exp_10
mol_2024_07_09_1156560_000,Mpro-protein,-5.604,,exp_10
mol_2024_07_09_1208280_000,Mpro-protein,-3.866,,exp_10
mol_2024_07_09_1153021_000,Mpro-protein,-5.467,,exp_10
mol_2024_07_09_1154021_000,Mpro-protein,-4.625,,exp_10
mol_2024_07_09_1153483_000,Mpro-protein,-4.525,,exp_10
mol_2024_07_09_1152450_000,Mpro-protein,-5.233,,exp_10
mol_2024_07_09_1149051_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1149051_000.pdb -o mol_2024_07_09_1149051_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1201520_000,Mpro-protein,-4.694,,exp_10
mol_2024_07_09_1147530_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1147530_000.pdb -o mol_2024_07_09_1147530_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1159073_000,Mpro-protein,-6.585,,exp_10
mol_2024_07_09_1200523_000,Mpro-protein,-5.61,,exp_10
mol_2024_07_09_1212021_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1212021_000.pdb -o mol_2024_07_09_1212021_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1157460_000,Mpro-protein,-4.653,,exp_10
mol_2024_07_09_1156060_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1156060_000.pdb -o mol_2024_07_09_1156060_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1204200_000,Mpro-protein,-4.145,,exp_10
mol_2024_07_09_1200412_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1200412_000.pdb -o mol_2024_07_09_1200412_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1210550_000,Mpro-protein,-4.58,,exp_10
mol_2024_07_09_1214102_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1214102_000.pdb -o mol_2024_07_09_1214102_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1155031_000,Mpro-protein,-4.553,,exp_10
mol_2024_07_09_1207353_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1207353_000.pdb -o mol_2024_07_09_1207353_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1209412_000,Mpro-protein,-3.978,,exp_10
mol_2024_07_09_1204123_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1204123_000.pdb -o mol_2024_07_09_1204123_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1153350_000,Mpro-protein,-5.131,,exp_10
mol_2024_07_09_1205120_000,Mpro-protein,-5.338,,exp_10
mol_2024_07_09_1151562_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1151562_000.pdb -o mol_2024_07_09_1151562_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_10
mol_2024_07_09_1209021_000,Mpro-protein,-5.225,,exp_10
mol_2024_07_09_1210593_000,Mpro-protein,-4.663,,exp_10
