24
stable:True satoms:24 tatoms:24 sratio:1.0
C 8.694808960 -0.755360901 24.049390793
O 8.658081055 -0.884402752 25.265007019
H 8.846044540 -3.239325285 24.813413620
H 6.759641171 -2.602930069 24.046472549
H 10.564462662 -2.173393250 22.257726669
C 8.623487473 -1.965729237 23.174074173
N 9.158107758 -3.094811916 23.853712082
C 9.955719948 0.633985221 22.539295197
H 10.879604340 0.419416130 23.089775085
H 10.026023865 1.669175744 22.191547394
H 10.168062210 -3.159019232 23.783342361
C 9.597511292 -1.775578737 21.933292389
H 10.649333000 -0.298702300 20.728788376
C 9.759389877 -0.346092969 21.379562378
H 7.800282001 -0.560475171 21.042329788
N 8.810979843 0.472647309 23.389053345
H 9.217594147 -2.367879868 21.098161697
H 7.969512939 0.920160115 23.014427185
N 8.580986023 -0.095297933 20.568248749
N 6.403774738 -3.032714128 20.826515198
H 8.340272903 0.797084987 20.173389435
C 7.003842354 -2.071700096 23.107799530
H 6.475198746 -1.109583020 23.077882767
C 6.641324997 -2.669609070 21.893493652
