24
stable:False satoms:15 tatoms:24 sratio:0.625
Cl 6.346943855 -4.876644135 26.496303558
S 8.196842194 -4.380003452 26.156940460
O 8.918543816 -5.610444546 26.015876770
O 8.635763168 -3.539956331 27.226961136
N 8.018306732 -3.606618643 24.766773224
C 8.885301590 -2.953043938 24.150962830
C 9.465691566 -2.270261288 23.611211777
C 10.331442833 -1.318508387 23.159870148
H 10.162336349 0.519379497 23.544622421
H 12.523920059 0.215562940 23.988740921
C 12.716725349 -0.607139230 23.278879166
H 13.563307762 -0.852511227 22.769470215
C 11.685194969 -1.291541815 23.046321869
C 9.874483109 -0.162911519 22.779870987
C 9.061785698 0.174611092 21.536363602
O 9.466611862 1.040600538 20.826848984
N 7.873978615 -0.485057652 21.309785843
C 7.089988232 -0.061899908 20.402765274
S 7.475739956 -0.072273120 18.707250595
N 6.483435154 0.436054558 17.386693954
C 6.181335926 0.552910447 18.341804504
C 5.479379177 0.807961047 19.513372421
C 5.809920311 0.487993658 20.637098312
H 5.337072372 0.563604593 21.641927719
