Indexed_name,Molecule_ID_name
input_files/hif2a_ligands_1,lig_231
input_files/hif2a_ligands_2,lig_163
input_files/hif2a_ligands_3,lig_289
input_files/hif2a_ligands_4,lig_57
input_files/hif2a_ligands_5,lig_15
input_files/hif2a_ligands_6,lig_227
input_files/hif2a_ligands_7,lig_234
input_files/hif2a_ligands_8,lig_167
input_files/hif2a_ligands_9,lig_254
input_files/hif2a_ligands_10,lig_206
input_files/hif2a_ligands_11,lig_336
input_files/hif2a_ligands_12,lig_155
input_files/hif2a_ligands_13,lig_338
input_files/hif2a_ligands_14,lig_252
input_files/hif2a_ligands_15,lig_290
input_files/hif2a_ligands_16,lig_67
input_files/hif2a_ligands_17,lig_165
input_files/hif2a_ligands_18,lig_256
input_files/hif2a_ligands_19,lig_215
input_files/hif2a_ligands_20,lig_23
input_files/hif2a_ligands_21,lig_156
input_files/hif2a_ligands_22,lig_235
input_files/hif2a_ligands_23,lig_1
input_files/hif2a_ligands_24,lig_35
input_files/hif2a_ligands_25,lig_25
input_files/hif2a_ligands_26,lig_61
input_files/hif2a_ligands_27,lig_42
input_files/hif2a_ligands_28,lig_251
input_files/hif2a_ligands_29,lig_54
input_files/hif2a_ligands_30,lig_41
input_files/hif2a_ligands_31,lig_43
input_files/hif2a_ligands_32,lig_84
input_files/hif2a_ligands_33,lig_31
input_files/hif2a_ligands_34,lig_30
input_files/hif2a_ligands_35,lig_124
input_files/hif2a_ligands_36,lig_50
input_files/hif2a_ligands_37,lig_224
