Indexed_name,Molecule_ID_name
input_files/mcl1_ligands_1,lig_43
input_files/mcl1_ligands_2,lig_56
input_files/mcl1_ligands_3,lig_47
input_files/mcl1_ligands_4,lig_37
input_files/mcl1_ligands_5,lig_65
input_files/mcl1_ligands_6,lig_60
input_files/mcl1_ligands_7,lig_67
input_files/mcl1_ligands_8,lig_46
input_files/mcl1_ligands_9,lig_50
input_files/mcl1_ligands_10,lig_61
input_files/mcl1_ligands_11,lig_36
input_files/mcl1_ligands_12,lig_53
input_files/mcl1_ligands_13,lig_31
input_files/mcl1_ligands_14,lig_58
input_files/mcl1_ligands_15,lig_34
input_files/mcl1_ligands_16,lig_35
input_files/mcl1_ligands_17,lig_49
input_files/mcl1_ligands_18,lig_52
input_files/mcl1_ligands_19,lig_48
input_files/mcl1_ligands_20,lig_63
input_files/mcl1_ligands_21,lig_30
input_files/mcl1_ligands_22,lig_33
input_files/mcl1_ligands_23,lig_32
input_files/mcl1_ligands_24,lig_28
input_files/mcl1_ligands_25,lig_27
