Indexed_name,Molecule_ID_name
input_files/syk_ligands_1,lig_CHEMBL3265000
input_files/syk_ligands_2,lig_CHEMBL3265001
input_files/syk_ligands_3,lig_CHEMBL3264998
input_files/syk_ligands_4,lig_CHEMBL3264995
input_files/syk_ligands_5,lig_CHEMBL3265002
input_files/syk_ligands_6,lig_CHEMBL3264996
input_files/syk_ligands_7,lig_CHEMBL3264997
input_files/syk_ligands_8,lig_CHEMBL3265003
input_files/syk_ligands_9,lig_CHEMBL3265008
input_files/syk_ligands_10,lig_CHEMBL3265004
input_files/syk_ligands_11,lig_CHEMBL3265009
input_files/syk_ligands_12,lig_CHEMBL3264994
input_files/syk_ligands_13,lig_CHEMBL3265010
input_files/syk_ligands_14,lig_CHEMBL3265005
input_files/syk_ligands_15,lig_CHEMBL3264999
input_files/syk_ligands_16,lig_CHEMBL3265034
input_files/syk_ligands_17,lig_CHEMBL3265011
input_files/syk_ligands_18,lig_CHEMBL3265033
input_files/syk_ligands_19,lig_CHEMBL3265006
input_files/syk_ligands_20,lig_CHEMBL3265024
input_files/syk_ligands_21,lig_CHEMBL3265012
input_files/syk_ligands_22,lig_CHEMBL3265026
input_files/syk_ligands_23,lig_CHEMBL3265036
input_files/syk_ligands_24,lig_CHEMBL3265023
input_files/syk_ligands_25,lig_CHEMBL3265016
input_files/syk_ligands_26,lig_CHEMBL3265028
input_files/syk_ligands_27,lig_CHEMBL3265018
input_files/syk_ligands_28,lig_CHEMBL3265037
input_files/syk_ligands_29,lig_CHEMBL3265032
input_files/syk_ligands_30,lig_CHEMBL3265027
input_files/syk_ligands_31,lig_CHEMBL3265017
input_files/syk_ligands_32,lig_CHEMBL3265025
input_files/syk_ligands_33,lig_CHEMBL3265020
input_files/syk_ligands_34,lig_CHEMBL3259820
input_files/syk_ligands_35,lig_CHEMBL3265019
input_files/syk_ligands_36,lig_CHEMBL3265022
input_files/syk_ligands_37,lig_CHEMBL3265021
input_files/syk_ligands_38,lig_CHEMBL3265013
input_files/syk_ligands_39,lig_CHEMBL3265015
input_files/syk_ligands_40,lig_CHEMBL3265031
input_files/syk_ligands_41,lig_CHEMBL3265014
input_files/syk_ligands_42,lig_CHEMBL3265030_n
input_files/syk_ligands_43,lig_CHEMBL3265035
input_files/syk_ligands_44,lig_CHEMBL3265029
