ligand_name,protein_name,computed_dG,error_message
Updated_Mpro_data_787_0,Mpro-protein,-7.989563,
Updated_Mpro_data_787_0,Mpro-protein,-8.193586,
Updated_Mpro_data_2016_0,Mpro-protein,-4.670628,
Updated_Mpro_data_2016_0,Mpro-protein,-4.585027,
Updated_Mpro_data_658_0,Mpro-protein,-7.306423,
Updated_Mpro_data_658_0,Mpro-protein,-7.428978,
Updated_Mpro_data_1803_0,Mpro-protein,-5.249272,
Updated_Mpro_data_1803_0,Mpro-protein,-5.437864,
Updated_Mpro_data_1858_0,Mpro-protein,-2.883136,
Updated_Mpro_data_1858_0,Mpro-protein,-2.927486,
Updated_Mpro_data_435_0,Mpro-protein,-3.305433,
Updated_Mpro_data_435_0,Mpro-protein,-2.780218,
Updated_Mpro_data_1801_0,Mpro-protein,-7.032224,
Updated_Mpro_data_1801_0,Mpro-protein,-6.870999,
Updated_Mpro_data_446_0,Mpro-protein,-8.021414,
Updated_Mpro_data_446_0,Mpro-protein,-7.852041,
Updated_Mpro_data_2663_0,Mpro-protein,-6.663576,
Updated_Mpro_data_2663_0,Mpro-protein,-6.663579,
Updated_Mpro_data_384_0,Mpro-protein,-5.496227,
Updated_Mpro_data_384_0,Mpro-protein,-5.412526,
Updated_Mpro_data_1409_0,Mpro-protein,-8.187341,
Updated_Mpro_data_1409_0,Mpro-protein,-8.187322,
Updated_Mpro_data_936_0,Mpro-protein,-5.202998,
Updated_Mpro_data_936_0,Mpro-protein,-5.157859,
Updated_Mpro_data_2023_0,Mpro-protein,-5.031074,
Updated_Mpro_data_2023_0,Mpro-protein,-4.911745,
Updated_Mpro_data_671_0,Mpro-protein,-5.282408,
Updated_Mpro_data_671_0,Mpro-protein,-5.347544,
Updated_Mpro_data_1363_0,Mpro-protein,-6.442314,
Updated_Mpro_data_1363_0,Mpro-protein,-6.553308,
Updated_Mpro_data_2527_0,Mpro-protein,-6.783038,
Updated_Mpro_data_2527_0,Mpro-protein,-7.16543,
Updated_Mpro_data_2391_0,Mpro-protein,-7.700841,
Updated_Mpro_data_2391_0,Mpro-protein,-7.741595,
Updated_Mpro_data_2358_0,Mpro-protein,-6.751152,
Updated_Mpro_data_2358_0,Mpro-protein,-6.723018,
Updated_Mpro_data_1730_0,Mpro-protein,-8.366599,
