ligand_name,protein_name,computed_dG,error_message
Updated_Mpro_data_2044_0,Mpro-protein,-1.019537,
Updated_Mpro_data_1687_0,Mpro-protein,-8.06144,
Updated_Mpro_data_1660_0,Mpro-protein,-4.61435,
Updated_Mpro_data_1535.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_633.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_1666_0,Mpro-protein,-6.775392,
Updated_Mpro_data_2189.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_678_0,Mpro-protein,-2.714344,
Updated_Mpro_data_1437_0,Mpro-protein,-11.001115,
Updated_Mpro_data_628_0,Mpro-protein,-6.218408,
Updated_Mpro_data_2007_0,Mpro-protein,-8.761762,
Updated_Mpro_data_2569.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2725_0,Mpro-protein,-5.303208,
Updated_Mpro_data_441.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_577_0,Mpro-protein,-6.698115,
Updated_Mpro_data_2490.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_941.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2441_0,Mpro-protein,-2.846945,
Updated_Mpro_data_2218.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_1782.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2493.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_1646.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2010.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2220.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2562.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_1650.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_779.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2222.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_492.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_266.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2233_0,Mpro-protein,6.884614,
Updated_Mpro_data_2233.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2219.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_491.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_433_0,Mpro-protein,0.713799,
Updated_Mpro_data_433.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_618_0,Mpro-protein,-4.124122,
Updated_Mpro_data_1997.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2395.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_834.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2008_0,Mpro-protein,-3.377699,
Updated_Mpro_data_2595.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_2030_0,Mpro-protein,-4.514127,
Updated_Mpro_data_362_0,Mpro-protein,-3.974211,
Updated_Mpro_data_2216_0,Mpro-protein,-8.385469,
Updated_Mpro_data_2235_0,Mpro-protein,-4.443739,
Updated_Mpro_data_2461.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_262.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_408.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_418_0,Mpro-protein,-7.27221,
Updated_Mpro_data_2614_0,Mpro-protein,-7.261785,
Updated_Mpro_data_2133_0,Mpro-protein,-4.723248,
Updated_Mpro_data_2275_0,Mpro-protein,-8.445814,
Updated_Mpro_data_2143_0,Mpro-protein,-2.699606,
Updated_Mpro_data_2416_0,Mpro-protein,-6.484281,
Updated_Mpro_data_2172_0,Mpro-protein,-7.782892,
Updated_Mpro_data_2078_0,Mpro-protein,-7.72343,
Updated_Mpro_data_754_0,Mpro-protein,-7.171404,
Updated_Mpro_data_2292_0,Mpro-protein,-6.48104,
Updated_Mpro_data_1201_0,Mpro-protein,-5.462358,
Updated_Mpro_data_2734_0,Mpro-protein,-5.389886,
Updated_Mpro_data_352_0,Mpro-protein,-5.136731,
Updated_Mpro_data_2173_0,Mpro-protein,-7.738106,
Updated_Mpro_data_1048_0,Mpro-protein,-6.225192,
Updated_Mpro_data_2103_0,Mpro-protein,-6.631004,
Updated_Mpro_data_3_0,Mpro-protein,-7.640922,
Updated_Mpro_data_365_0,Mpro-protein,-7.941208,
Updated_Mpro_data_1686_0,Mpro-protein,-8.500484,
Updated_Mpro_data_823_0,Mpro-protein,-1.535655,
Updated_Mpro_data_390_0,Mpro-protein,-6.563281,
Updated_Mpro_data_2255_0,Mpro-protein,-7.555987,
Updated_Mpro_data_561_0,Mpro-protein,-5.83364,
Updated_Mpro_data_770_0,Mpro-protein,-8.420393,
Updated_Mpro_data_1882_0,Mpro-protein,-7.543004,
Updated_Mpro_data_2633_0,Mpro-protein,-6.295472,
Updated_Mpro_data_1049_0,Mpro-protein,-6.578491,
Updated_Mpro_data_2390_0,Mpro-protein,-5.974518,
Updated_Mpro_data_1441_0,Mpro-protein,-10.208222,
Updated_Mpro_data_1695_0,Mpro-protein,-8.096962,
Updated_Mpro_data_1532_0,Mpro-protein,-4.219804,
Updated_Mpro_data_1190_0,Mpro-protein,-5.395422,
Updated_Mpro_data_508_0,Mpro-protein,-7.409838,
Updated_Mpro_data_1172_0,Mpro-protein,-4.509432,
Updated_Mpro_data_2724_0,Mpro-protein,-7.754101,
Updated_Mpro_data_2168_0,Mpro-protein,-6.69463,
Updated_Mpro_data_1634_0,Mpro-protein,-7.507906,
Updated_Mpro_data_1542_0,Mpro-protein,-3.595713,
Updated_Mpro_data_2256_0,Mpro-protein,-7.078069,
Updated_Mpro_data_2599_0,Mpro-protein,-7.68926,
Updated_Mpro_data_1835_0,Mpro-protein,-9.167631,
Updated_Mpro_data_766.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_464_0,Mpro-protein,-4.138342,
Updated_Mpro_data_1806_0,Mpro-protein,-2.45792,
Updated_Mpro_data_2299_0,Mpro-protein,-8.008874,
Updated_Mpro_data_758_0,Mpro-protein,-6.016464,
Updated_Mpro_data_2162_0,Mpro-protein,-8.027728,
Updated_Mpro_data_127_0,Mpro-protein,-3.145736,
Updated_Mpro_data_1597_0,Mpro-protein,-6.03861,
Updated_Mpro_data_21_0,Mpro-protein,-6.379986,
Updated_Mpro_data_105_0,Mpro-protein,-2.508546,
Updated_Mpro_data_638_0,Mpro-protein,-7.844346,
Updated_Mpro_data_582_0,Mpro-protein,-4.846431,
Updated_Mpro_data_1236_0,Mpro-protein,-2.96493,
Updated_Mpro_data_170_0,Mpro-protein,-5.914422,
Updated_Mpro_data_1482_0,Mpro-protein,-8.453968,
Updated_Mpro_data_2205_0,Mpro-protein,-2.937898,
Updated_Mpro_data_1816_0,Mpro-protein,-8.779778,
Updated_Mpro_data_1494_0,Mpro-protein,-7.908138,
Updated_Mpro_data_692_0,Mpro-protein,-5.129211,
Updated_Mpro_data_822_0,Mpro-protein,-7.288691,
Updated_Mpro_data_2171_0,Mpro-protein,-7.128061,
Updated_Mpro_data_1348_0,Mpro-protein,-6.466368,
Updated_Mpro_data_488_0,Mpro-protein,-8.923564,
Updated_Mpro_data_1187_0,Mpro-protein,-7.553831,
Updated_Mpro_data_2079_0,Mpro-protein,-7.735954,
Updated_Mpro_data_1772_0,Mpro-protein,-5.460741,
Updated_Mpro_data_1572_0,Mpro-protein,-6.592746,
Updated_Mpro_data_1033_0,Mpro-protein,-6.295365,
Updated_Mpro_data_2122_0,Mpro-protein,-8.742408,
Updated_Mpro_data_14_0,Mpro-protein,-3.027527,
Updated_Mpro_data_2291_0,Mpro-protein,-6.560522,
Updated_Mpro_data_2436_0,Mpro-protein,-6.319395,
Updated_Mpro_data_2475_0,Mpro-protein,-4.857338,
Updated_Mpro_data_917_0,Mpro-protein,-7.633248,
Updated_Mpro_data_36_0,Mpro-protein,-4.35425,
Updated_Mpro_data_934_0,Mpro-protein,-7.381523,
Updated_Mpro_data_172_0,Mpro-protein,-3.568928,
Updated_Mpro_data_276_0,Mpro-protein,-3.014,
Updated_Mpro_data_537_0,Mpro-protein,-6.011637,
Updated_Mpro_data_2378_0,Mpro-protein,-6.610215,
Updated_Mpro_data_657.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_54_0,Mpro-protein,-7.977897,
Updated_Mpro_data_2242_0,Mpro-protein,-6.404025,
Updated_Mpro_data_1200_0,Mpro-protein,-8.191511,
Updated_Mpro_data_200_0,Mpro-protein,-5.477089,
Updated_Mpro_data_99_0,Mpro-protein,-4.475198,
Updated_Mpro_data_1744_0,Mpro-protein,-0.490842,
Updated_Mpro_data_45_0,Mpro-protein,-8.06361,
Updated_Mpro_data_175_0,Mpro-protein,-4.223115,
Updated_Mpro_data_1848_0,Mpro-protein,-7.277515,
Updated_Mpro_data_1311_0,Mpro-protein,-6.259161,
Updated_Mpro_data_1702_0,Mpro-protein,-7.942968,
Updated_Mpro_data_1462_0,Mpro-protein,-6.001949,
Updated_Mpro_data_2464_0,Mpro-protein,-7.960256,
Updated_Mpro_data_2571_0,Mpro-protein,-10.281382,
Updated_Mpro_data_1732_0,Mpro-protein,-10.111148,
Updated_Mpro_data_762_0,Mpro-protein,-7.046218,
Updated_Mpro_data_1574_0,Mpro-protein,-6.664168,
Updated_Mpro_data_2223.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment
Updated_Mpro_data_731_0,Mpro-protein,-4.624717,
Updated_Mpro_data_2134_0,Mpro-protein,-3.934715,
Updated_Mpro_data_744_0,Mpro-protein,-6.006608,
Updated_Mpro_data_510_0,Mpro-protein,-6.7768,
Updated_Mpro_data_2352_0,Mpro-protein,-10.171903,
Updated_Mpro_data_1471_0,Mpro-protein,-4.433527,
Updated_Mpro_data_694_0,Mpro-protein,-8.20583,
Updated_Mpro_data_2646_0,Mpro-protein,-7.264061,
Updated_Mpro_data_1370_0,Mpro-protein,-7.072468,
Updated_Mpro_data_992_0,Mpro-protein,-6.495913,
Updated_Mpro_data_1820_0,Mpro-protein,-7.677852,
Updated_Mpro_data_807_0,Mpro-protein,-9.696992,
Updated_Mpro_data_1243_0,Mpro-protein,-5.290443,
Updated_Mpro_data_1893_0,Mpro-protein,-7.031137,
Updated_Mpro_data_1247_0,Mpro-protein,-6.957294,
Updated_Mpro_data_151_0,Mpro-protein,-4.74245,
Updated_Mpro_data_2561_0,Mpro-protein,-6.676081,
Updated_Mpro_data_866_0,Mpro-protein,-6.55921,
Updated_Mpro_data_493_0,Mpro-protein,-5.076848,
Updated_Mpro_data_2577_0,Mpro-protein,-7.876989,
