ligand_name,protein_name,computed_dG,error_message
Updated_Mpro_data_48_0,Mpro-protein,-9.24274,
Updated_Mpro_data_48_0,Mpro-protein,-9.103304,
Updated_Mpro_data_1325_0,Mpro-protein,-2.482654,
Updated_Mpro_data_1325_0,Mpro-protein,-2.740322,
Updated_Mpro_data_1582_0,Mpro-protein,-6.697589,
Updated_Mpro_data_1582_0,Mpro-protein,-6.697587,
Updated_Mpro_data_1015_0,Mpro-protein,-5.871579,
Updated_Mpro_data_1015_0,Mpro-protein,-5.679278,
Updated_Mpro_data_557_0,Mpro-protein,-5.452233,
Updated_Mpro_data_557_0,Mpro-protein,-5.200167,
Updated_Mpro_data_2637_0,Mpro-protein,-7.648517,
Updated_Mpro_data_2637_0,Mpro-protein,-7.656457,
Updated_Mpro_data_706_0,Mpro-protein,-6.892323,
Updated_Mpro_data_706_0,Mpro-protein,-6.89232,
Updated_Mpro_data_225_0,Mpro-protein,-4.119527,
Updated_Mpro_data_225_0,Mpro-protein,-4.106424,
Updated_Mpro_data_2076_0,Mpro-protein,-8.456393,
Updated_Mpro_data_2076_0,Mpro-protein,-6.865283,
Updated_Mpro_data_1308_0,Mpro-protein,-8.285959,
Updated_Mpro_data_1308_0,Mpro-protein,-8.288118,
Updated_Mpro_data_1729_0,Mpro-protein,-6.623698,
Updated_Mpro_data_1729_0,Mpro-protein,-6.623705,
Updated_Mpro_data_2104_0,Mpro-protein,-6.293522,
Updated_Mpro_data_2104_0,Mpro-protein,-6.023069,
Updated_Mpro_data_896_0,Mpro-protein,-7.677401,
Updated_Mpro_data_896_0,Mpro-protein,-7.550972,
Updated_Mpro_data_2110_0,Mpro-protein,-5.545154,
Updated_Mpro_data_2110_0,Mpro-protein,-5.575863,
Updated_Mpro_data_2690_0,Mpro-protein,-8.470814,
Updated_Mpro_data_2690_0,Mpro-protein,-8.448233,
Updated_Mpro_data_532_0,Mpro-protein,-6.385583,
Updated_Mpro_data_532_0,Mpro-protein,-6.447613,
Updated_Mpro_data_843_0,Mpro-protein,-5.353067,
Updated_Mpro_data_843_0,Mpro-protein,-5.284025,
Updated_Mpro_data_185_0,Mpro-protein,-4.488575,
Updated_Mpro_data_185_0,Mpro-protein,-4.326211,
Updated_Mpro_data_257_0,Mpro-protein,-5.993674,
Updated_Mpro_data_257_0,Mpro-protein,-5.861039,
Updated_Mpro_data_227_0,Mpro-protein,-3.70417,
Updated_Mpro_data_227_0,Mpro-protein,-3.670981,
Updated_Mpro_data_695_0,Mpro-protein,-8.116623,
Updated_Mpro_data_695_0,Mpro-protein,-7.771045,
Updated_Mpro_data_1776_0,Mpro-protein,-5.355654,
Updated_Mpro_data_1776_0,Mpro-protein,-5.520059,
Updated_Mpro_data_214_0,Mpro-protein,-5.20302,
Updated_Mpro_data_214_0,Mpro-protein,-5.006622,
Updated_Mpro_data_237_0,Mpro-protein,-6.029415,
Updated_Mpro_data_237_0,Mpro-protein,-6.133233,
Updated_Mpro_data_206_0,Mpro-protein,-5.678988,
Updated_Mpro_data_206_0,Mpro-protein,-5.587202,
Updated_Mpro_data_2083_0,Mpro-protein,-8.489099,
Updated_Mpro_data_2083_0,Mpro-protein,-8.489098,
Updated_Mpro_data_1457_0,Mpro-protein,-5.346467,
Updated_Mpro_data_1457_0,Mpro-protein,-5.382039,
Updated_Mpro_data_884_0,Mpro-protein,-5.098395,
Updated_Mpro_data_884_0,Mpro-protein,-5.115793,
Updated_Mpro_data_280_0,Mpro-protein,-1.074294,
Updated_Mpro_data_280_0,Mpro-protein,-2.559105,
Updated_Mpro_data_2200_0,Mpro-protein,-3.196751,
Updated_Mpro_data_2200_0,Mpro-protein,-2.98561,
Updated_Mpro_data_2287_0,Mpro-protein,-7.247872,
Updated_Mpro_data_2287_0,Mpro-protein,-7.332129,
Updated_Mpro_data_291_0,Mpro-protein,-7.318242,
Updated_Mpro_data_291_0,Mpro-protein,-7.466843,
Updated_Mpro_data_568_0,Mpro-protein,-7.079438,
Updated_Mpro_data_568_0,Mpro-protein,-7.268884,
Updated_Mpro_data_472_0,Mpro-protein,-3.997476,
Updated_Mpro_data_472_0,Mpro-protein,-3.331031,
Updated_Mpro_data_2500_0,Mpro-protein,-4.701468,
Updated_Mpro_data_2500_0,Mpro-protein,-5.040021,
Updated_Mpro_data_2272_0,Mpro-protein,-6.388894,
Updated_Mpro_data_2272_0,Mpro-protein,-6.398061,
Updated_Mpro_data_2499_0,Mpro-protein,-4.549767,
Updated_Mpro_data_2499_0,Mpro-protein,-4.891005,
Updated_Mpro_data_1375_0,Mpro-protein,-7.322165,
Updated_Mpro_data_1375_0,Mpro-protein,-7.739112,
Updated_Mpro_data_2655_0,Mpro-protein,-7.735244,
Updated_Mpro_data_2655_0,Mpro-protein,-7.929128,
Updated_Mpro_data_1020_0,Mpro-protein,-6.307419,
Updated_Mpro_data_1020_0,Mpro-protein,-6.325694,
Updated_Mpro_data_2348_0,Mpro-protein,-7.697758,
Updated_Mpro_data_2348_0,Mpro-protein,-7.648864,
Updated_Mpro_data_1584_0,Mpro-protein,-4.535663,
Updated_Mpro_data_1584_0,Mpro-protein,-4.322092,
Updated_Mpro_data_270_0,Mpro-protein,-2.330467,
Updated_Mpro_data_270_0,Mpro-protein,-2.270447,
Updated_Mpro_data_1339_0,Mpro-protein,-9.733496,
Updated_Mpro_data_1339_0,Mpro-protein,-9.355844,
Updated_Mpro_data_178_0,Mpro-protein,-3.810075,
Updated_Mpro_data_178_0,Mpro-protein,-4.0123,
Updated_Mpro_data_267_0,Mpro-protein,-5.917134,
Updated_Mpro_data_267_0,Mpro-protein,-6.000734,
Updated_Mpro_data_892_0,Mpro-protein,-3.180563,
Updated_Mpro_data_892_0,Mpro-protein,-3.59003,
Updated_Mpro_data_1352_0,Mpro-protein,-6.972513,
Updated_Mpro_data_1352_0,Mpro-protein,-6.673816,
Updated_Mpro_data_1962_0,Mpro-protein,-2.660206,
Updated_Mpro_data_1962_0,Mpro-protein,-2.583964,
Updated_Mpro_data_175_0,Mpro-protein,-4.223115,
Updated_Mpro_data_175_0,Mpro-protein,-3.945513,
Updated_Mpro_data_1416_0,Mpro-protein,-6.181396,
Updated_Mpro_data_1416_0,Mpro-protein,-6.345595,
Updated_Mpro_data_74_0,Mpro-protein,-6.039689,
Updated_Mpro_data_74_0,Mpro-protein,-6.043963,
Updated_Mpro_data_209_0,Mpro-protein,-6.807424,
Updated_Mpro_data_209_0,Mpro-protein,-6.807428,
Updated_Mpro_data_520_0,Mpro-protein,-8.447437,
Updated_Mpro_data_520_0,Mpro-protein,-8.423425,
Updated_Mpro_data_555_0,Mpro-protein,-6.797892,
Updated_Mpro_data_555_0,Mpro-protein,-6.549719,
Updated_Mpro_data_2449_0,Mpro-protein,-6.435508,
Updated_Mpro_data_2449_0,Mpro-protein,-6.540056,
Updated_Mpro_data_1820_0,Mpro-protein,-7.677852,
Updated_Mpro_data_1820_0,Mpro-protein,-7.633069,
Updated_Mpro_data_276_0,Mpro-protein,-3.014,
Updated_Mpro_data_276_0,Mpro-protein,-2.956938,
Updated_Mpro_data_2178_0,Mpro-protein,-6.130781,
Updated_Mpro_data_2178_0,Mpro-protein,-4.946947,
Updated_Mpro_data_1410_0,Mpro-protein,-8.210594,
Updated_Mpro_data_1410_0,Mpro-protein,-8.159438,
Updated_Mpro_data_2029_0,Mpro-protein,-6.022841,
Updated_Mpro_data_2029_0,Mpro-protein,-5.965885,
Updated_Mpro_data_499_0,Mpro-protein,-1.088177,
Updated_Mpro_data_499_0,Mpro-protein,-1.349651,
Updated_Mpro_data_2513_0,Mpro-protein,-7.298631,
