ligand_name,protein_name,computed_dG,error_message
Updated_Mpro_data_787,6YNQ_receptor_fixed,-6.254,
Updated_Mpro_data_2016,6YNQ_receptor_fixed,-5.673,
Updated_Mpro_data_658,6YNQ_receptor_fixed,-6.295,
Updated_Mpro_data_1803,6YNQ_receptor_fixed,-6.139,
Updated_Mpro_data_1858,6YNQ_receptor_fixed,-6.297,
Updated_Mpro_data_435,6YNQ_receptor_fixed,-6.096,
Updated_Mpro_data_1801,6YNQ_receptor_fixed,-6.316,
Updated_Mpro_data_446,6YNQ_receptor_fixed,-6.045,
Updated_Mpro_data_2663,6YNQ_receptor_fixed,-6.458,
Updated_Mpro_data_384,6YNQ_receptor_fixed,-6.337,
Updated_Mpro_data_1409,6YNQ_receptor_fixed,-4.982,
Updated_Mpro_data_936,6YNQ_receptor_fixed,-5.748,
Updated_Mpro_data_2023,6YNQ_receptor_fixed,-6.532,
Updated_Mpro_data_671,6YNQ_receptor_fixed,-6.742,
Updated_Mpro_data_1363,6YNQ_receptor_fixed,-5.806,
Updated_Mpro_data_2527,6YNQ_receptor_fixed,-5.669,
Updated_Mpro_data_2391,6YNQ_receptor_fixed,-5.87,
Updated_Mpro_data_2358,6YNQ_receptor_fixed,-5.685,
Updated_Mpro_data_1730,6YNQ_receptor_fixed,-6.036,
Updated_Mpro_data_1364,6YNQ_receptor_fixed,-5.502,
Updated_Mpro_data_1023,6YNQ_receptor_fixed,-5.526,
Updated_Mpro_data_313,6YNQ_receptor_fixed,-5.919,
Updated_Mpro_data_1421,6YNQ_receptor_fixed,-4.604,
Updated_Mpro_data_1924,6YNQ_receptor_fixed,-5.722,
Updated_Mpro_data_689,6YNQ_receptor_fixed,-6.126,
Updated_Mpro_data_1938,6YNQ_receptor_fixed,-6.998,
Updated_Mpro_data_604,6YNQ_receptor_fixed,-6.449,
Updated_Mpro_data_801,6YNQ_receptor_fixed,-6.02,
Updated_Mpro_data_1941,6YNQ_receptor_fixed,-5.312,
Updated_Mpro_data_203,6YNQ_receptor_fixed,-6.556,
Updated_Mpro_data_2412,6YNQ_receptor_fixed,-5.115,
Updated_Mpro_data_2191,6YNQ_receptor_fixed,-7.277,
Updated_Mpro_data_1145,6YNQ_receptor_fixed,-5.864,
Updated_Mpro_data_1291,6YNQ_receptor_fixed,-5.394,
Updated_Mpro_data_2456,6YNQ_receptor_fixed,-4.686,
Updated_Mpro_data_1398,6YNQ_receptor_fixed,-6.443,
Updated_Mpro_data_683,6YNQ_receptor_fixed,-6.545,
Updated_Mpro_data_342,6YNQ_receptor_fixed,-5.729,
Updated_Mpro_data_795,6YNQ_receptor_fixed,-5.637,
Updated_Mpro_data_1777,6YNQ_receptor_fixed,-6.082,
Updated_Mpro_data_337,6YNQ_receptor_fixed,-6.371,
Updated_Mpro_data_712,6YNQ_receptor_fixed,-6.227,
Updated_Mpro_data_993,6YNQ_receptor_fixed,-5.877,
Updated_Mpro_data_434,6YNQ_receptor_fixed,-6.367,
Updated_Mpro_data_632,6YNQ_receptor_fixed,-6.686,
Updated_Mpro_data_2389,6YNQ_receptor_fixed,-6.169,
Updated_Mpro_data_1350,6YNQ_receptor_fixed,-4.79,
Updated_Mpro_data_1168,6YNQ_receptor_fixed,-5.593,
Updated_Mpro_data_2257,6YNQ_receptor_fixed,-4.982,
Updated_Mpro_data_2472,6YNQ_receptor_fixed,-5.8,
Updated_Mpro_data_470,6YNQ_receptor_fixed,-5.923,
Updated_Mpro_data_324,6YNQ_receptor_fixed,-6.589,
Updated_Mpro_data_702,6YNQ_receptor_fixed,-6.524,
Updated_Mpro_data_1080,6YNQ_receptor_fixed,-6.061,
Updated_Mpro_data_456,6YNQ_receptor_fixed,-5.813,
Updated_Mpro_data_84,6YNQ_receptor_fixed,-6.044,
Updated_Mpro_data_1980,6YNQ_receptor_fixed,-6.832,
Updated_Mpro_data_2120,6YNQ_receptor_fixed,-6.224,
Updated_Mpro_data_1992,6YNQ_receptor_fixed,-6.673,
Updated_Mpro_data_2388,6YNQ_receptor_fixed,-5.749,
Updated_Mpro_data_1855,6YNQ_receptor_fixed,-6.36,
Updated_Mpro_data_494,6YNQ_receptor_fixed,-7.135,
Updated_Mpro_data_212,6YNQ_receptor_fixed,-6.351,
Updated_Mpro_data_2021,6YNQ_receptor_fixed,-5.119,
Updated_Mpro_data_1649,6YNQ_receptor_fixed,-5.562,
Updated_Mpro_data_1261,6YNQ_receptor_fixed,-5.492,
Updated_Mpro_data_2183,6YNQ_receptor_fixed,-6.141,
Updated_Mpro_data_2141,6YNQ_receptor_fixed,-6.515,
Updated_Mpro_data_1165,6YNQ_receptor_fixed,-6.162,
Updated_Mpro_data_2044,6YNQ_receptor_fixed,-6.773,
Updated_Mpro_data_1103,6YNQ_receptor_fixed,-6.018,
Updated_Mpro_data_481.sdf,6YNQ_receptor_fixed.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config Updated_Mpro_data_481_6YNQ_receptor_fixed_config.txt failed: 


PDBQT parsing error: Atom type Au is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM    8 AU   UNL     1       4.203  -0.778   8.362  1.00  0.00     0.000 Au
"
Updated_Mpro_data_1642,6YNQ_receptor_fixed,-5.173,
Updated_Mpro_data_2147,6YNQ_receptor_fixed,-6.311,
Updated_Mpro_data_1687,6YNQ_receptor_fixed,-5.935,
Updated_Mpro_data_1828,6YNQ_receptor_fixed,-5.956,
Updated_Mpro_data_297,6YNQ_receptor_fixed,-6.028,
Updated_Mpro_data_2001,6YNQ_receptor_fixed,-7.352,
Updated_Mpro_data_211,6YNQ_receptor_fixed,-6.815,
Updated_Mpro_data_1575,6YNQ_receptor_fixed,-5.131,
Updated_Mpro_data_2270,6YNQ_receptor_fixed,-5.884,
Updated_Mpro_data_2381,6YNQ_receptor_fixed,-5.844,
Updated_Mpro_data_241,6YNQ_receptor_fixed,-5.961,
Updated_Mpro_data_1699,6YNQ_receptor_fixed,-6.238,
Updated_Mpro_data_868,6YNQ_receptor_fixed,-6.607,
Updated_Mpro_data_2090,6YNQ_receptor_fixed,-5.722,
Updated_Mpro_data_17,6YNQ_receptor_fixed,-6.237,
Updated_Mpro_data_1950,6YNQ_receptor_fixed,-5.609,
Updated_Mpro_data_1660,6YNQ_receptor_fixed,-6.463,
Updated_Mpro_data_906,6YNQ_receptor_fixed,-5.793,
Updated_Mpro_data_1240,6YNQ_receptor_fixed,-5.184,
Updated_Mpro_data_1535,6YNQ_receptor_fixed,-5.472,
Updated_Mpro_data_2591,6YNQ_receptor_fixed,-5.503,
Updated_Mpro_data_1490,6YNQ_receptor_fixed,-6.202,
Updated_Mpro_data_1994,6YNQ_receptor_fixed,-6.834,
Updated_Mpro_data_2444,6YNQ_receptor_fixed,-6.604,
Updated_Mpro_data_713,6YNQ_receptor_fixed,-7.007,
Updated_Mpro_data_939,6YNQ_receptor_fixed,-5.091,
Updated_Mpro_data_1533,6YNQ_receptor_fixed,-6.557,
Updated_Mpro_data_179,6YNQ_receptor_fixed,-5.035,
