ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_10_0955483_000_0,Mpro-protein,-5.790839,,exp_23
mol_2024_07_10_0955483_000_0,Mpro-protein,-5.741465,,exp_23
mol_2024_07_10_1010560_000_0,Mpro-protein,-6.554107,,exp_23
mol_2024_07_10_1010560_000_0,Mpro-protein,-6.569321,,exp_23
mol_2024_07_10_1015050_000_0,Mpro-protein,-4.16557,,exp_23
mol_2024_07_10_1015050_000_0,Mpro-protein,-4.405571,,exp_23
mol_2024_07_10_1021020_000_0,Mpro-protein,-4.756812,,exp_23
mol_2024_07_10_1021020_000_0,Mpro-protein,-4.670996,,exp_23
mol_2024_07_10_1031480_000_0,Mpro-protein,-7.53032,,exp_23
mol_2024_07_10_1031480_000_0,Mpro-protein,-7.560786,,exp_23
mol_2024_07_10_1011123_000_0,Mpro-protein,-5.638811,,exp_23
mol_2024_07_10_1011123_000_0,Mpro-protein,-5.664986,,exp_23
mol_2024_07_10_1003300_000_0,Mpro-protein,-4.91948,,exp_23
mol_2024_07_10_1003300_000_0,Mpro-protein,-4.530204,,exp_23
mol_2024_07_10_1015553_000_0,Mpro-protein,-7.070516,,exp_23
mol_2024_07_10_1015553_000_0,Mpro-protein,-7.279938,,exp_23
mol_2024_07_10_1028121_000_0,Mpro-protein,-6.155112,,exp_23
mol_2024_07_10_1028121_000_0,Mpro-protein,-6.249379,,exp_23
mol_2024_07_10_1003023_000_0,Mpro-protein,-5.707236,,exp_23
mol_2024_07_10_1003023_000_0,Mpro-protein,-5.623563,,exp_23
mol_2024_07_10_1020151_000_0,Mpro-protein,-5.716001,,exp_23
mol_2024_07_10_1020151_000_0,Mpro-protein,-5.716005,,exp_23
mol_2024_07_10_1006051_000_0,Mpro-protein,-7.160178,,exp_23
mol_2024_07_10_1006051_000_0,Mpro-protein,-6.995977,,exp_23
mol_2024_07_10_0957383_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_0957383_000_docked.sdf,exp_23
mol_2024_07_10_0943132_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_0943132_000_docked.sdf,exp_23
mol_2024_07_10_1023432_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1023432_000_docked.sdf,exp_23
mol_2024_07_10_0948422_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_0948422_000_docked.sdf,exp_23
mol_2024_07_10_1022420_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1022420_000_docked.sdf,exp_23
mol_2024_07_10_1016470_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1016470_000_docked.sdf,exp_23
mol_2024_07_10_1028423_000_0,Mpro-protein,-7.882166,,exp_23
mol_2024_07_10_1028423_000_0,Mpro-protein,-7.816969,,exp_23
mol_2024_07_10_1014013_000_0,Mpro-protein,-5.985742,,exp_23
mol_2024_07_10_1014013_000_0,Mpro-protein,-5.836133,,exp_23
mol_2024_07_10_0957321_000_0,Mpro-protein,-5.336745,,exp_23
mol_2024_07_10_0957321_000_0,Mpro-protein,-5.424085,,exp_23
mol_2024_07_10_1021510_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1021510_000_docked.sdf,exp_23
mol_2024_07_10_1037380_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1037380_000_docked.sdf,exp_23
mol_2024_07_10_1018291_000_0,Mpro-protein,-6.744562,,exp_23
mol_2024_07_10_1018291_000_0,Mpro-protein,-6.762641,,exp_23
