Unnamed: 0,ligand_name,protein_name,Chemgauss4,error_message,exp_id
0,mol_2024_07_10_1842591_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1842591_000_docked.sdf,exp_32
mol_2024_07_10_1840121_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1840121_000_docked.sdf,,exp_32
mol_2024_07_10_1835522_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1900291_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1900291_000_docked.sdf,,exp_32
mol_2024_07_10_1850201_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1850201_000_docked.sdf,,exp_32
mol_2024_07_10_1846402_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1846402_000_docked.sdf,,exp_32
mol_2024_07_10_1849010_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1849010_000_docked.sdf,,exp_32
mol_2024_07_10_1840470_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1840470_000_docked.sdf,,exp_32
mol_2024_07_10_1838160_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1838160_000_docked.sdf,,exp_32
mol_2024_07_10_1847230_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1847230_000_docked.sdf,,exp_32
mol_2024_07_10_1839580_000_0,Mpro-protein,-6.298637,,,exp_32
mol_2024_07_10_1839580_000_0,Mpro-protein,-6.186428,,,exp_32
mol_2024_07_10_1844292_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1844292_000_docked.sdf,,exp_32
mol_2024_07_10_1854561_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1854561_000_docked.sdf,,exp_32
mol_2024_07_10_1847333_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1843170_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1843170_000_docked.sdf,,exp_32
mol_2024_07_10_1848522_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1848522_000_docked.sdf,,exp_32
mol_2024_07_10_1846401_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1846401_000_docked.sdf,,exp_32
mol_2024_07_10_1834541_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1834541_000_docked.sdf,,exp_32
mol_2024_07_10_1857580_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1857580_000_docked.sdf,,exp_32
mol_2024_07_10_1854460_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1854460_000_docked.sdf,,exp_32
mol_2024_07_10_1842093_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1842093_000_docked.sdf,,exp_32
mol_2024_07_10_1835523_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1835523_000_docked.sdf,,exp_32
mol_2024_07_10_1902020_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1902020_000_docked.sdf,,exp_32
mol_2024_07_10_1855272_000_0,Mpro-protein,-5.943112,,,exp_32
mol_2024_07_10_1855272_000_0,Mpro-protein,-6.446565,,,exp_32
mol_2024_07_10_1901241_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1901241_000_docked.sdf,,exp_32
mol_2024_07_10_1851290_000_0,Mpro-protein,-6.08634,,,exp_32
mol_2024_07_10_1851290_000_0,Mpro-protein,-6.339693,,,exp_32
mol_2024_07_10_1835431_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1835431_000_docked.sdf,,exp_32
mol_2024_07_10_1854011_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1854011_000_docked.sdf,,exp_32
mol_2024_07_10_1858381_000_0,Mpro-protein,-6.476722,,,exp_32
mol_2024_07_10_1858381_000_0,Mpro-protein,-6.750908,,,exp_32
mol_2024_07_10_1856471_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1834540_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1834540_000_docked.sdf,,exp_32
mol_2024_07_10_1854533_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1854533_000_docked.sdf,,exp_32
mol_2024_07_10_1842031_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1842031_000_docked.sdf,,exp_32
mol_2024_07_10_1847351_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1847351_000_docked.sdf,,exp_32
mol_2024_07_10_1841081_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1841081_000_docked.sdf,,exp_32
mol_2024_07_10_1901473_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1901473_000_docked.sdf,,exp_32
mol_2024_07_10_1834553_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1843541_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1843541_000_docked.sdf,,exp_32
mol_2024_07_10_1852101_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1852101_000_docked.sdf,,exp_32
mol_2024_07_10_1859522_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1859522_000_docked.sdf,,exp_32
mol_2024_07_10_1842162_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1842162_000_docked.sdf,,exp_32
mol_2024_07_10_1841033_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1841033_000_docked.sdf,,exp_32
mol_2024_07_10_1836351_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1859483_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1859483_000_docked.sdf,,exp_32
mol_2024_07_10_1842250_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1842250_000_docked.sdf,,exp_32
mol_2024_07_10_1859341_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1859341_000_docked.sdf,,exp_32
mol_2024_07_10_1852543_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1852543_000_docked.sdf,,exp_32
mol_2024_07_10_1845430_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1845430_000_docked.sdf,,exp_32
mol_2024_07_10_1849251_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1849251_000_docked.sdf,,exp_32
mol_2024_07_10_1838583_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1838583_000_docked.sdf,,exp_32
mol_2024_07_10_1900493_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1900493_000_docked.sdf,,exp_32
mol_2024_07_10_1839171_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1839171_000_docked.sdf,,exp_32
mol_2024_07_10_1839070_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1839070_000_docked.sdf,,exp_32
mol_2024_07_10_1837553_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1837553_000_docked.sdf,,exp_32
mol_2024_07_10_1840072_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1837552_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1855330_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1855330_000_docked.sdf,,exp_32
mol_2024_07_10_1851042_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1843123_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1843123_000_docked.sdf,,exp_32
mol_2024_07_10_1849443_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1849443_000_docked.sdf,,exp_32
mol_2024_07_10_1853152_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1853152_000_docked.sdf,,exp_32
mol_2024_07_10_1837291_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1837291_000_docked.sdf,,exp_32
mol_2024_07_10_1858480_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1858480_000_docked.sdf,,exp_32
mol_2024_07_10_1851151_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1840003_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1840003_000_docked.sdf,,exp_32
mol_2024_07_10_1853070_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1853070_000_docked.sdf,,exp_32
mol_2024_07_10_1858473_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1836340_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1850410_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1850410_000_docked.sdf,,exp_32
mol_2024_07_10_1835450_000.sdf,Mpro-protein.pdb,,local variable 'df' referenced before assignment,,exp_32
mol_2024_07_10_1856210_000_0,Mpro-protein,-6.964717,,,exp_32
mol_2024_07_10_1856210_000_0,Mpro-protein,-6.945513,,,exp_32
mol_2024_07_10_1850503_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1850503_000_docked.sdf,,exp_32
mol_2024_07_10_1851563_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1851563_000_docked.sdf,,exp_32
mol_2024_07_10_1846293_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1846293_000_docked.sdf,,exp_32
mol_2024_07_10_1844520_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1844520_000_docked.sdf,,exp_32
mol_2024_07_10_1844050_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1844050_000_docked.sdf,,exp_32
mol_2024_07_10_1848120_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1848120_000_docked.sdf,,exp_32
mol_2024_07_10_1901140_000_0,Mpro-protein,-5.718158,,,exp_32
mol_2024_07_10_1901140_000_0,Mpro-protein,-5.675629,,,exp_32
mol_2024_07_10_1853533_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1853533_000_docked.sdf,,exp_32
mol_2024_07_10_1902032_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1902032_000_docked.sdf,,exp_32
mol_2024_07_10_1857421_000_0,Mpro-protein,-5.902976,,,exp_32
mol_2024_07_10_1857421_000_0,Mpro-protein,-5.035071,,,exp_32
mol_2024_07_10_1855511_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1855511_000_docked.sdf,,exp_32
mol_2024_07_10_1852170_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1852170_000_docked.sdf,,exp_32
mol_2024_07_10_1846330_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1846330_000_docked.sdf,,exp_32
mol_2024_07_10_1856503_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1856503_000_docked.sdf,,exp_32
mol_2024_07_10_1853560_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1853560_000_docked.sdf,,exp_32
mol_2024_07_10_1857473_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1857473_000_docked.sdf,,exp_32
mol_2024_07_10_1841360_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1841360_000_docked.sdf,,exp_32
mol_2024_07_10_1844491_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1844491_000_docked.sdf,,exp_32
mol_2024_07_10_1857110_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1857110_000_docked.sdf,,exp_32
mol_2024_07_10_1836563_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1836563_000_docked.sdf,,exp_32
mol_2024_07_10_1848403_000_0,Mpro-protein,-5.745243,,,exp_32
mol_2024_07_10_1848403_000_0,Mpro-protein,-5.749285,,,exp_32
mol_2024_07_10_1838231_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1838231_000_docked.sdf,,exp_32
mol_2024_07_10_1853061_000_0,Mpro-protein,-4.011503,,,exp_32
mol_2024_07_10_1853061_000_0,Mpro-protein,-4.177826,,,exp_32
mol_2024_07_10_1845233_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1845233_000_docked.sdf,,exp_32
