ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_10_1059462_000,Mpro-protein,-3.419,,exp_24
mol_2024_07_10_1101241_000,Mpro-protein,-4.409,,exp_24
mol_2024_07_10_1133493_000,Mpro-protein,-4.457,,exp_24
mol_2024_07_10_1122403_000,Mpro-protein,-3.821,,exp_24
mol_2024_07_10_1129151_000,Mpro-protein,-4.235,,exp_24
mol_2024_07_10_1043400_000,Mpro-protein,-4.292,,exp_24
mol_2024_07_10_1053221_000,Mpro-protein,-3.797,,exp_24
mol_2024_07_10_1130593_000,Mpro-protein,-3.613,,exp_24
mol_2024_07_10_1144431_000,Mpro-protein,-3.731,,exp_24
mol_2024_07_10_1131573_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1131573_000.pdb -o mol_2024_07_10_1131573_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1049163_000,Mpro-protein,-4.425,,exp_24
mol_2024_07_10_1132160_000,Mpro-protein,-3.554,,exp_24
mol_2024_07_10_1050170_000,Mpro-protein,-4.233,,exp_24
mol_2024_07_10_1123313_000,Mpro-protein,-4.02,,exp_24
mol_2024_07_10_1144040_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1144040_000.pdb -o mol_2024_07_10_1144040_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1048380_000,Mpro-protein,-4.127,,exp_24
mol_2024_07_10_1123501_000,Mpro-protein,-4.84,,exp_24
mol_2024_07_10_1146330_000,Mpro-protein,-4.554,,exp_24
mol_2024_07_10_1132533_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1132533_000.pdb -o mol_2024_07_10_1132533_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1103463_000,Mpro-protein,-3.699,,exp_24
mol_2024_07_10_1119201_000,Mpro-protein,-3.72,,exp_24
mol_2024_07_10_1056551_000,Mpro-protein,-4.085,,exp_24
mol_2024_07_10_1131250_000,Mpro-protein,-4.043,,exp_24
mol_2024_07_10_1130350_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1130350_000.pdb -o mol_2024_07_10_1130350_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1110053_000,Mpro-protein,-4.263,,exp_24
mol_2024_07_10_1113450_000,Mpro-protein,-3.629,,exp_24
mol_2024_07_10_1138201_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1138201_000.pdb -o mol_2024_07_10_1138201_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1136280_000,Mpro-protein,-4.115,,exp_24
mol_2024_07_10_1120592_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1120592_000.pdb -o mol_2024_07_10_1120592_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1114501_000,Mpro-protein,-3.647,,exp_24
mol_2024_07_10_1136301_000,Mpro-protein,-4.157,,exp_24
mol_2024_07_10_1109232_000,Mpro-protein,-3.725,,exp_24
mol_2024_07_10_1147542_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1147542_000.pdb -o mol_2024_07_10_1147542_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1141213_000,Mpro-protein,-3.998,,exp_24
mol_2024_07_10_1054290_000,Mpro-protein,-3.959,,exp_24
mol_2024_07_10_1045383_000,Mpro-protein,-4.245,,exp_24
mol_2024_07_10_1048142_000,Mpro-protein,-5.005,,exp_24
mol_2024_07_10_1111170_000,Mpro-protein,-3.626,,exp_24
mol_2024_07_10_1102533_000,Mpro-protein,-4.838,,exp_24
mol_2024_07_10_1120260_000,Mpro-protein,-4.229,,exp_24
mol_2024_07_10_1053400_000,Mpro-protein,-3.613,,exp_24
mol_2024_07_10_1100301_000,Mpro-protein,-4.035,,exp_24
mol_2024_07_10_1128530_000,Mpro-protein,-4.148,,exp_24
mol_2024_07_10_1139500_000,Mpro-protein,-3.588,,exp_24
mol_2024_07_10_1057481_000,Mpro-protein,-4.17,,exp_24
mol_2024_07_10_1118261_000,Mpro-protein,-4.539,,exp_24
mol_2024_07_10_1047101_000,Mpro-protein,-3.962,,exp_24
mol_2024_07_10_1132511_000,Mpro-protein,-4.032,,exp_24
mol_2024_07_10_1138252_000,Mpro-protein,-4.112,,exp_24
mol_2024_07_10_1103121_000,Mpro-protein,-4.5,,exp_24
mol_2024_07_10_1050123_000,Mpro-protein,-3.696,,exp_24
mol_2024_07_10_1107550_000,Mpro-protein,-5.172,,exp_24
mol_2024_07_10_1058421_000,Mpro-protein,-4.606,,exp_24
mol_2024_07_10_1106451_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1106451_000.pdb -o mol_2024_07_10_1106451_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1052013_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1052013_000.pdb -o mol_2024_07_10_1052013_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1048551_000,Mpro-protein,-3.522,,exp_24
mol_2024_07_10_1112550_000,Mpro-protein,-4.255,,exp_24
mol_2024_07_10_1048031_000,Mpro-protein,-4.46,,exp_24
mol_2024_07_10_1141591_000,Mpro-protein,-4.083,,exp_24
mol_2024_07_10_1102000_000,Mpro-protein,-3.957,,exp_24
mol_2024_07_10_1045251_000,Mpro-protein,-4.998,,exp_24
mol_2024_07_10_1113443_000,Mpro-protein,-5.341,,exp_24
mol_2024_07_10_1143481_000,Mpro-protein,-4.385,,exp_24
mol_2024_07_10_1054393_000,Mpro-protein,-4.02,,exp_24
mol_2024_07_10_1046090_000,Mpro-protein,-4.273,,exp_24
mol_2024_07_10_1123500_000,Mpro-protein,-4.73,,exp_24
mol_2024_07_10_1112493_000,Mpro-protein,-3.289,,exp_24
mol_2024_07_10_1135370_000,Mpro-protein,-3.855,,exp_24
mol_2024_07_10_1109271_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1109271_000.pdb -o mol_2024_07_10_1109271_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1059351_000,Mpro-protein,-3.661,,exp_24
mol_2024_07_10_1121081_000,Mpro-protein,-3.814,,exp_24
mol_2024_07_10_1046171_000,Mpro-protein,-5.093,,exp_24
mol_2024_07_10_1144570_000,Mpro-protein,-4.026,,exp_24
mol_2024_07_10_1054151_000,Mpro-protein,-4.393,,exp_24
mol_2024_07_10_1117072_000,Mpro-protein,-3.473,,exp_24
mol_2024_07_10_1125193_000,Mpro-protein,-5.026,,exp_24
mol_2024_07_10_1047243_000,Mpro-protein,-3.742,,exp_24
mol_2024_07_10_1145440_000,Mpro-protein,-4.572,,exp_24
mol_2024_07_10_1042501_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1042501_000.pdb -o mol_2024_07_10_1042501_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1118093_000,Mpro-protein,-4.388,,exp_24
mol_2024_07_10_1047470_000,Mpro-protein,-3.994,,exp_24
mol_2024_07_10_1124263_000,Mpro-protein,-5.397,,exp_24
mol_2024_07_10_1102520_000,Mpro-protein,-4.657,,exp_24
mol_2024_07_10_1124451_000,Mpro-protein,-4.371,,exp_24
mol_2024_07_10_1137180_000,Mpro-protein,-4.323,,exp_24
mol_2024_07_10_1141300_000,Mpro-protein,-4.125,,exp_24
mol_2024_07_10_1047000_000,Mpro-protein,-4.37,,exp_24
mol_2024_07_10_1133580_000,Mpro-protein,-4.401,,exp_24
mol_2024_07_10_1108450_000,Mpro-protein,-4.386,,exp_24
mol_2024_07_10_1044300_000,Mpro-protein,-4.475,,exp_24
mol_2024_07_10_1051580_000,Mpro-protein,-4.449,,exp_24
mol_2024_07_10_1042523_000,Mpro-protein,-3.382,,exp_24
mol_2024_07_10_1135413_000,Mpro-protein,-5.014,,exp_24
mol_2024_07_10_1107272_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1107272_000.pdb -o mol_2024_07_10_1107272_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1109360_000,Mpro-protein,-3.992,,exp_24
mol_2024_07_10_1101090_000,Mpro-protein,-3.222,,exp_24
mol_2024_07_10_1115283_000,Mpro-protein,-4.37,,exp_24
mol_2024_07_10_1129450_000,Mpro-protein,-4.012,,exp_24
mol_2024_07_10_1137353_000,Mpro-protein,-5.289,,exp_24
mol_2024_07_10_1122562_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1122562_000.pdb -o mol_2024_07_10_1122562_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1110201_000,Mpro-protein,-4.004,,exp_24
mol_2024_07_10_1128083_000,Mpro-protein,-4.019,,exp_24
mol_2024_07_10_1128211_000,Mpro-protein,-4.362,,exp_24
mol_2024_07_10_1121483_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1121483_000.pdb -o mol_2024_07_10_1121483_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1120141_000,Mpro-protein,-4.389,,exp_24
mol_2024_07_10_1117143_000,Mpro-protein,-4.658,,exp_24
mol_2024_07_10_1102181_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1102181_000.pdb -o mol_2024_07_10_1102181_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1106150_000,Mpro-protein,-3.52,,exp_24
mol_2024_07_10_1044433_000,Mpro-protein,-3.976,,exp_24
mol_2024_07_10_1055081_000,Mpro-protein,-3.848,,exp_24
mol_2024_07_10_1104591_000,Mpro-protein,-3.489,,exp_24
mol_2024_07_10_1143140_000,Mpro-protein,-4.185,,exp_24
mol_2024_07_10_1129073_000,Mpro-protein,-4.138,,exp_24
mol_2024_07_10_1134433_000,Mpro-protein,-3.558,,exp_24
mol_2024_07_10_1055200_000,Mpro-protein,-4.357,,exp_24
mol_2024_07_10_1130023_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1130023_000.pdb -o mol_2024_07_10_1130023_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1111202_000,Mpro-protein,-3.937,,exp_24
mol_2024_07_10_1126321_000,Mpro-protein,-4.197,,exp_24
mol_2024_07_10_1050082_000,Mpro-protein,-4.177,,exp_24
mol_2024_07_10_1141041_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1141041_000.pdb -o mol_2024_07_10_1141041_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1044331_000,Mpro-protein,-4.113,,exp_24
mol_2024_07_10_1116381_000,Mpro-protein,-4.861,,exp_24
mol_2024_07_10_1125381_000,Mpro-protein,-4.989,,exp_24
mol_2024_07_10_1133461_000,Mpro-protein,-3.881,,exp_24
mol_2024_07_10_1128010_000,Mpro-protein,-4.404,,exp_24
mol_2024_07_10_1124410_000,Mpro-protein,-3.692,,exp_24
mol_2024_07_10_1142172_000,Mpro-protein,-3.752,,exp_24
mol_2024_07_10_1122021_000,Mpro-protein,-5.137,,exp_24
mol_2024_07_10_1101412_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1101412_000.pdb -o mol_2024_07_10_1101412_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1104320_000,Mpro-protein,-3.738,,exp_24
mol_2024_07_10_1043483_000,Mpro-protein,-4.015,,exp_24
mol_2024_07_10_1111003_000,Mpro-protein,-4.343,,exp_24
mol_2024_07_10_1117580_000,Mpro-protein,-3.981,,exp_24
mol_2024_07_10_1043082_000,Mpro-protein,-3.629,,exp_24
mol_2024_07_10_1112070_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1112070_000.pdb -o mol_2024_07_10_1112070_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1120563_000,Mpro-protein,-4.028,,exp_24
mol_2024_07_10_1113561_000,Mpro-protein,-4.278,,exp_24
mol_2024_07_10_1101073_000,Mpro-protein,-4.123,,exp_24
mol_2024_07_10_1134411_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1134411_000.pdb -o mol_2024_07_10_1134411_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1134312_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1134312_000.pdb -o mol_2024_07_10_1134312_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1046162_000,Mpro-protein,-3.865,,exp_24
mol_2024_07_10_1117080_000,Mpro-protein,-3.623,,exp_24
mol_2024_07_10_1137251_000,Mpro-protein,-4.482,,exp_24
mol_2024_07_10_1046313_000,Mpro-protein,-5.021,,exp_24
mol_2024_07_10_1052032_000,Mpro-protein,-6.775,,exp_24
mol_2024_07_10_1105312_000,Mpro-protein,-3.636,,exp_24
mol_2024_07_10_1142203_000,Mpro-protein,-3.223,,exp_24
mol_2024_07_10_1051080_000,Mpro-protein,-3.741,,exp_24
mol_2024_07_10_1116160_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1116160_000.pdb -o mol_2024_07_10_1116160_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1113021_000,Mpro-protein,-4.368,,exp_24
mol_2024_07_10_1145381_000,Mpro-protein,-4.054,,exp_24
mol_2024_07_10_1108331_000,Mpro-protein,-3.812,,exp_24
mol_2024_07_10_1109103_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1109103_000.pdb -o mol_2024_07_10_1109103_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_24
mol_2024_07_10_1127100_000,Mpro-protein,-3.492,,exp_24
mol_2024_07_10_1105521_000,Mpro-protein,-3.36,,exp_24
mol_2024_07_10_1104423_000,Mpro-protein,-3.365,,exp_24
mol_2024_07_10_1120033_000,Mpro-protein,-3.784,,exp_24
mol_2024_07_10_1055363_000,Mpro-protein,-3.422,,exp_24
mol_2024_07_10_1053592_000,Mpro-protein,-4.195,,exp_24
mol_2024_07_10_1146092_000,Mpro-protein,-4.795,,exp_24
