Unnamed: 0,ligand_name,protein_name,computed_dG,error_message,exp_id
0,mol_2024_07_10_1533481_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1533481_000.pdb -o mol_2024_07_10_1533481_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_28
mol_2024_07_10_1522250_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1522250_000.pdb -o mol_2024_07_10_1522250_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1610023_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1610023_000.pdb -o mol_2024_07_10_1610023_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1533473_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1533473_000.pdb -o mol_2024_07_10_1533473_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1541243_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1541243_000.pdb -o mol_2024_07_10_1541243_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1543362_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1543362_000.pdb -o mol_2024_07_10_1543362_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1545540_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1545540_000.pdb -o mol_2024_07_10_1545540_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1557201_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1557201_000.pdb -o mol_2024_07_10_1557201_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1529171_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1529171_000.pdb -o mol_2024_07_10_1529171_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1521350_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1521350_000.pdb -o mol_2024_07_10_1521350_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1517503_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1517503_000.pdb -o mol_2024_07_10_1517503_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1603380_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1603380_000.pdb -o mol_2024_07_10_1603380_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1514010_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1514010_000.pdb -o mol_2024_07_10_1514010_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1533190_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1533190_000.pdb -o mol_2024_07_10_1533190_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1545050_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1545050_000.pdb -o mol_2024_07_10_1545050_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1510362_000,Mpro-protein,-14.95,,,exp_28
mol_2024_07_10_1531583_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1531583_000.pdb -o mol_2024_07_10_1531583_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1510133_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1510133_000.pdb -o mol_2024_07_10_1510133_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1545291_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1545291_000.pdb -o mol_2024_07_10_1545291_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1517411_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1517411_000.pdb -o mol_2024_07_10_1517411_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1526351_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1526351_000.pdb -o mol_2024_07_10_1526351_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1536291_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1536291_000.pdb -o mol_2024_07_10_1536291_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1528123_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1528123_000.pdb -o mol_2024_07_10_1528123_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1534110_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1534110_000.pdb -o mol_2024_07_10_1534110_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1509062_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1509062_000.pdb -o mol_2024_07_10_1509062_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_28
mol_2024_07_10_1509510_000,Mpro-protein,-18.87,,,exp_28
