ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1352301_000,Mpro-protein,-7.265,,exp_14
mol_2024_07_09_1341290_000,Mpro-protein,-7.495,,exp_14
mol_2024_07_09_1354263_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1354263_000.pdb -o mol_2024_07_09_1354263_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_14
mol_2024_07_09_1350143_000,Mpro-protein,-7.612,,exp_14
mol_2024_07_09_1357392_000,Mpro-protein,-8.149,,exp_14
mol_2024_07_09_1338141_000,Mpro-protein,-7.183,,exp_14
mol_2024_07_09_1340523_000,Mpro-protein,-7.815,,exp_14
mol_2024_07_09_1355351_000,Mpro-protein,-8.245,,exp_14
mol_2024_07_09_1349261_000,Mpro-protein,-7.58,,exp_14
mol_2024_07_09_1339010_000,Mpro-protein,-8.165,,exp_14
mol_2024_07_09_1339510_000,Mpro-protein,-6.654,,exp_14
mol_2024_07_09_1359263_000,Mpro-protein,-8.113,,exp_14
mol_2024_07_09_1404140_000,Mpro-protein,-8.097,,exp_14
mol_2024_07_09_1353383_000,Mpro-protein,-8.02,,exp_14
mol_2024_07_09_1357330_000,Mpro-protein,-6.283,,exp_14
mol_2024_07_09_1352473_000,Mpro-protein,-6.45,,exp_14
mol_2024_07_09_1351330_000,Mpro-protein,-7.82,,exp_14
mol_2024_07_09_1354331_000,Mpro-protein,-6.05,,exp_14
mol_2024_07_09_1340390_000,Mpro-protein,-7.091,,exp_14
mol_2024_07_09_1338130_000,Mpro-protein,-8.045,,exp_14
mol_2024_07_09_1346370_000,Mpro-protein,-8.074,,exp_14
mol_2024_07_09_1349530_000,Mpro-protein,-7.918,,exp_14
mol_2024_07_09_1400431_000,Mpro-protein,-6.566,,exp_14
mol_2024_07_09_1344002_000,Mpro-protein,-8.084,,exp_14
mol_2024_07_09_1342210_000,Mpro-protein,-7.836,,exp_14
mol_2024_07_09_1339051_000,Mpro-protein,-7.582,,exp_14
mol_2024_07_09_1401553_000,Mpro-protein,-7.861,,exp_14
mol_2024_07_09_1351563_000,Mpro-protein,-6.8,,exp_14
mol_2024_07_09_1341381_000,Mpro-protein,-6.578,,exp_14
mol_2024_07_09_1403240_000,Mpro-protein,-7.391,,exp_14
mol_2024_07_09_1344550_000,Mpro-protein,-6.687,,exp_14
