Unnamed: 0,ligand_name,protein_name,computed_dG,error_message,exp_id
0,mol_2024_07_10_1941343_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1941343_000.pdb -o mol_2024_07_10_1941343_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_34
mol_2024_07_10_1956281_000,Mpro-protein,-21.92,,,exp_34
mol_2024_07_10_1933520_000,Mpro-protein,-21.92,,,exp_34
mol_2024_07_10_1934430_000,Mpro-protein,-22.1,,,exp_34
mol_2024_07_10_1940441_000,Mpro-protein,-20.47,,,exp_34
mol_2024_07_10_1933482_000,Mpro-protein,-21.84,,,exp_34
mol_2024_07_10_1943343_000,Mpro-protein,-22.36,,,exp_34
mol_2024_07_10_1933191_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1933191_000.pdb -o mol_2024_07_10_1933191_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1931412_000,Mpro-protein,-22.42,,,exp_34
mol_2024_07_10_1945211_000,Mpro-protein,-21.78,,,exp_34
mol_2024_07_10_1946171_000,Mpro-protein,-22.89,,,exp_34
mol_2024_07_10_1930443_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1930443_000.pdb -o mol_2024_07_10_1930443_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1942351_000,Mpro-protein,-21.82,,,exp_34
mol_2024_07_10_1933020_000,Mpro-protein,-21.91,,,exp_34
mol_2024_07_10_1935512_000,Mpro-protein,-22.86,,,exp_34
mol_2024_07_10_1954361_000,Mpro-protein,-21.96,,,exp_34
mol_2024_07_10_1948081_000,Mpro-protein,-22.18,,,exp_34
mol_2024_07_10_1936363_000,Mpro-protein,-22.49,,,exp_34
mol_2024_07_10_1944261_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1944261_000.pdb -o mol_2024_07_10_1944261_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1945290_000,Mpro-protein,-22.12,,,exp_34
mol_2024_07_10_1956080_000,Mpro-protein,-21.52,,,exp_34
mol_2024_07_10_1939400_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1939400_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM    3  B   UNL     1       8.794  -1.755  22.133  1.00  0.00     0.301 B 
",,exp_34
mol_2024_07_10_1942353_000,Mpro-protein,-22.28,,,exp_34
mol_2024_07_10_1946303_000,Mpro-protein,-21.96,,,exp_34
mol_2024_07_10_1935101_000,Mpro-protein,-21.61,,,exp_34
mol_2024_07_10_1957231_000,Mpro-protein,-21.39,,,exp_34
mol_2024_07_10_1940290_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1940290_000.pdb -o mol_2024_07_10_1940290_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1954300_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1954300_000.pdb -o mol_2024_07_10_1954300_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1955321_000,Mpro-protein,-22.06,,,exp_34
mol_2024_07_10_1935340_000,Mpro-protein,-22.24,,,exp_34
mol_2024_07_10_1953182_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1953182_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM    7  B   UNL     1       8.361  -1.294  23.529  1.00  0.00    -3.873 B 
",,exp_34
mol_2024_07_10_1947070_000,Mpro-protein,-22.08,,,exp_34
mol_2024_07_10_1931423_000,Mpro-protein,-21.95,,,exp_34
mol_2024_07_10_1949350_000,Mpro-protein,-21.54,,,exp_34
mol_2024_07_10_1940323_000,Mpro-protein,-24.19,,,exp_34
mol_2024_07_10_1933403_000,Mpro-protein,-21.88,,,exp_34
mol_2024_07_10_1948440_000,Mpro-protein,-22.27,,,exp_34
mol_2024_07_10_1953430_000,Mpro-protein,-22.01,,,exp_34
mol_2024_07_10_1950273_000,Mpro-protein,-21.47,,,exp_34
mol_2024_07_10_1949031_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1949031_000.pdb -o mol_2024_07_10_1949031_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1931301_000,Mpro-protein,-22.48,,,exp_34
mol_2024_07_10_1936240_000,Mpro-protein,-22.19,,,exp_34
mol_2024_07_10_1948562_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1948562_000.pdb -o mol_2024_07_10_1948562_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1937333_000,Mpro-protein,-20.91,,,exp_34
mol_2024_07_10_1946452_000,Mpro-protein,-21.99,,,exp_34
mol_2024_07_10_1955292_000,Mpro-protein,-22.04,,,exp_34
mol_2024_07_10_1938500_000,Mpro-protein,-21.59,,,exp_34
mol_2024_07_10_1951491_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1951491_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM   13  B   UNL     1       7.799  -1.267  22.581  1.00  0.00    -0.101 B 
",,exp_34
mol_2024_07_10_1956203_000,Mpro-protein,-22.88,,,exp_34
mol_2024_07_10_1930350_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1930350_000.pdb -o mol_2024_07_10_1930350_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1934151_000,Mpro-protein,-21.83,,,exp_34
mol_2024_07_10_1932130_000,Mpro-protein,-24.37,,,exp_34
mol_2024_07_10_1938531_000,Mpro-protein,-23.72,,,exp_34
mol_2024_07_10_1939491_000,Mpro-protein,-22.15,,,exp_34
mol_2024_07_10_1951253_000,Mpro-protein,-23.25,,,exp_34
mol_2024_07_10_1931230_000,Mpro-protein,-22.55,,,exp_34
mol_2024_07_10_1944380_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1944380_000.pdb -o mol_2024_07_10_1944380_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1942580_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1942580_000.pdb -o mol_2024_07_10_1942580_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1938323_000,Mpro-protein,-22.3,,,exp_34
mol_2024_07_10_1944342_000,Mpro-protein,-21.91,,,exp_34
mol_2024_07_10_1938030_000,Mpro-protein,-22.94,,,exp_34
mol_2024_07_10_1957392_000,Mpro-protein,-22.14,,,exp_34
mol_2024_07_10_1945323_000,Mpro-protein,-22.32,,,exp_34
mol_2024_07_10_1950260_000,Mpro-protein,-22.02,,,exp_34
mol_2024_07_10_1950541_000,Mpro-protein,-21.99,,,exp_34
mol_2024_07_10_1952451_000,Mpro-protein,-21.55,,,exp_34
mol_2024_07_10_1936051_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1936051_000.pdb -o mol_2024_07_10_1936051_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1952520_000,Mpro-protein,-22.76,,,exp_34
mol_2024_07_10_1930371_000,Mpro-protein,-22.39,,,exp_34
mol_2024_07_10_1949303_000,Mpro-protein,-22.44,,,exp_34
mol_2024_07_10_1942242_000,Mpro-protein,-22.15,,,exp_34
mol_2024_07_10_1942090_000,Mpro-protein,-21.89,,,exp_34
mol_2024_07_10_1938022_000,Mpro-protein,-22.69,,,exp_34
mol_2024_07_10_1951062_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1951062_000.pdb -o mol_2024_07_10_1951062_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1947550_000,Mpro-protein,-21.56,,,exp_34
mol_2024_07_10_1934383_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1934383_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM   44  B   UNL     1       8.331  -1.583  21.939  1.00  0.00    -10.563 B 
",,exp_34
mol_2024_07_10_1948293_000,Mpro-protein,-21.8,,,exp_34
mol_2024_07_10_1941401_000,Mpro-protein,-22.35,,,exp_34
mol_2024_07_10_1932251_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1932251_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM   24  B   UNL     1       8.827  -1.528  23.599  1.00  0.00    -45.377 B 
",,exp_34
mol_2024_07_10_1937011_000,Mpro-protein,-22.03,,,exp_34
mol_2024_07_10_1943490_000,Mpro-protein,-21.81,,,exp_34
mol_2024_07_10_1937130_000,Mpro-protein,-21.77,,,exp_34
mol_2024_07_10_1947303_000,Mpro-protein,-21.45,,,exp_34
mol_2024_07_10_1946190_000,Mpro-protein,-22.08,,,exp_34
mol_2024_07_10_1956570_000,Mpro-protein,-24.32,,,exp_34
mol_2024_07_10_1952030_000,Mpro-protein,-21.61,,,exp_34
mol_2024_07_10_1955223_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1955223_000.pdb -o mol_2024_07_10_1955223_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1944333_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1944333_000.pdb -o mol_2024_07_10_1944333_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1952243_000,Mpro-protein,-23.88,,,exp_34
mol_2024_07_10_1941180_000,Mpro-protein,-21.78,,,exp_34
mol_2024_07_10_1954213_000,Mpro-protein,-21.76,,,exp_34
mol_2024_07_10_1957183_000,Mpro-protein,-21.85,,,exp_34
mol_2024_07_10_1940122_000,Mpro-protein,-21.76,,,exp_34
mol_2024_07_10_1932403_000,Mpro-protein,-21.9,,,exp_34
mol_2024_07_10_1939323_000,Mpro-protein,-21.61,,,exp_34
mol_2024_07_10_1953233_000,Mpro-protein,-23.13,,,exp_34
mol_2024_07_10_1951130_000.sdf,Mpro-protein.pdb,,Command failed with return code 999,,exp_34
mol_2024_07_10_1947131_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1947131_000.pdb -o mol_2024_07_10_1947131_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1955190_000,Mpro-protein,-22.71,,,exp_34
mol_2024_07_10_1953401_000,Mpro-protein,-21.66,,,exp_34
mol_2024_07_10_1937571_000,Mpro-protein,-22.4,,,exp_34
mol_2024_07_10_1949591_000,Mpro-protein,-21.86,,,exp_34
mol_2024_07_10_1943311_000,Mpro-protein,-21.89,,,exp_34
mol_2024_07_10_1935383_000,Mpro-protein,-21.98,,,exp_34
